year	reader_i	reader_j	dyad	trt_i	trt_j	birds_i	birds_j	dist_ij	pfor_ij	count	active_days
2015	M1_NW	M1_E	M1_E-M1_NW	connected	isolated	1	4	0.486261246656568	0.0588235294117647	0	64
2015	M1_NW	M1_NE	M1_NE-M1_NW	connected	forest	1	0	0.254709638608357	0.75	0	64
2015	M1_NW	M1_S	M1_NW-M1_S	connected	connected	1	1	0.332051200871191	0.0975609756097561	0	64
2015	M1_NW	M2_C	M1_NW-M2_C	connected	center	1	6	1.79568594136057	0.541501976284585	0	64
2015	M1_NW	M2_E	M1_NW-M2_E	connected	connected	1	1	1.62283332477491	0.508771929824561	0	64
2015	M1_NW	M2_N	M1_NW-M2_N	connected	connected	1	6	1.91272501944216	0.672794117647059	0	64
2015	M1_NW	M2_S	M1_NW-M2_S	connected	forest	1	0	1.7278799148089	0.546218487394958	0	64
2015	M1_NW	M2_W	M1_NW-M2_W	connected	isolated	1	1	2.01777724241305	0.526315789473684	0	64
2015	M1_S	LOM_C	LOM_C-M1_S	connected	center	1	0	3.48619592105779	0.788671023965142	0	64
2015	M1_S	LOM_N	LOM_N-M1_S	connected	forest	1	0	3.26944842442881	0.805045871559633	0	64
2015	M1_S	LOM_NE	LOM_NE-M1_S	connected	connected	1	0	3.29067060034881	0.955188679245283	0	64
2015	M1_S	LOM_SE	LOM_SE-M1_S	connected	isolated	1	0	3.58859763696071	0.956331877729258	0	64
2015	M1_S	LOM_W	LOM_W-M1_S	connected	forest	1	0	3.69387668987474	0.856565656565657	0	64
2015	M1_S	M1_C	M1_C-M1_S	connected	center	1	5	0.220927589947476	0	9	64
2015	M1_S	M1_E	M1_E-M1_S	connected	isolated	1	4	0.350707855629155	0.181818181818182	0	64
2015	M1_S	M1_NE	M1_NE-M1_S	connected	forest	1	0	0.449418513192325	0.296875	0	64
2015	M1_S	M1_NW	M1_NW-M1_S	connected	connected	1	1	0.332051200871191	0.0975609756097561	0	64
2015	M1_S	M2_C	M1_S-M2_C	connected	center	1	6	1.96052288943537	0.476534296028881	0	64
2015	M1_S	M2_E	M1_S-M2_E	connected	connected	1	1	1.78304514805431	0.448412698412698	0	64
2015	M1_S	M2_N	M1_S-M2_N	connected	connected	1	6	2.10547025626106	0.35472972972973	0	64
2015	M1_S	M2_S	M1_S-M2_S	connected	forest	1	0	1.85345865883218	0.66030534351145	0	64
2015	M1_S	M2_W	M1_S-M2_W	connected	isolated	1	1	2.17924138176568	0.446601941747573	0	64
2015	M2_C	LOM_C	LOM_C-M2_C	center	center	6	0	4.64633748236178	0.872611464968153	0	64
2015	M2_C	LOM_N	LOM_N-M2_C	center	forest	6	0	4.40836851907823	0.910714285714286	0	64
2015	M2_C	LOM_NE	LOM_NE-M2_C	center	connected	6	0	4.53689684696489	0.828389830508475	0	64
2015	M2_C	LOM_SE	LOM_SE-M2_C	center	isolated	6	0	4.83508562488815	0.77710843373494	0	64
2015	M2_C	LOM_W	LOM_W-M2_C	center	forest	6	0	4.77932683544451	0.822485207100592	0	64
2015	M2_C	M1_C	M1_C-M2_C	center	center	6	5	2.03113490443151	0.421602787456446	0	64
